"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 14 19:00:05 ICT 2022","Sun Aug 14 19:00:18 ICT 2022","13451","","Login","","User logs in with a valid account","","User logs in with a valid account",""
"passed","Sun Aug 14 19:00:19 ICT 2022","Sun Aug 14 19:00:22 ICT 2022","2902","","Your Cart","","User adds product to cart","","User adds product to cart",""
